NAME,Description,Location
MetScape 3,Cytoscape plugin for metabolomics data visualization and analysis.,http://metscape.ncibi.org//
Mummichog,Software for untargeted metabolomics data analysis and pathway mapping.,https://mummichog.org/
MycoCosm,Database of fungal genomes and associated metabolic pathways.,https://mycocosm.jgi.doe.gov/
PANTHER (Protein ANalysis THrough Evolutionary Relationships),"Classification and functional analysis of proteins, including metabolic enzymes.",http://www.pantherdb.org/
PathBank,Metabolic pathway database with emphasis on human metabolism.,http://pathbank.org/
Pathway Tools,Software for pathway analysis and metabolic network visualization.,https://biocyc.org/pathway-tools/
Plant Metabolic Network (PMN),Resource for plant metabolic pathway information.,http://www.plantcyc.org/
PlantCyc,Collection of metabolic pathways for plant species.,https://plantcyc.org/
REACTOME,Curated pathway database covering various biological processes including metabolism.,https://reactome.org/
Rhea,Resource for enzyme-catalyzed reactions and biochemical transformations.,https://www.rhea-db.org/
SABIO-RK,Curated database of biochemical reactions and their kinetics,https://sabiork.h-its.org/
SMPDB (Small Molecule Pathway Database),Collection of small molecule pathways and their associated diseases.,http://smpdb.ca/
SwissLipids,Resource for lipid biology and lipidomics research.,https://www.swisslipids.org/
YeastMetGenome,Genome-scale metabolic model of Saccharomyces cerevisiae.,http://www.yeastmetgenome.org/
Alphafold,"AlphaFold is a groundbreaking artificial intelligence system developed by DeepMind for predicting protein structures with high accuracy. AlphaFold leverages deep learning techniques and massive datasets to predict the 3D shapes of proteins from their amino acid sequences, often achieving near-experimental accuracy. It has revolutionized structural biology by providing reliable structural predictions for proteins previously unsolvedÂ experimentally.",https://alphafold.ebi.ac.uk/
Andromeda,"A search engine for peptide and protein identification from mass spectrometry data, developed as part of the MaxQuant software suite.",: https://www.coxdocs.org/doku.php?id=perseus:user:activities:proteomics:andromeda:start
ANNOVAR,"  ANNOVAR is a tool for annotating genetic variants detected in high-throughput sequencing data. It provides information on the functional consequences of variants, such as their effects on protein coding, splicing, and regulatory regions. ANNOVAR supports multiple types of annotation databases, making it a versatile tool for variant analysis.",https://digitalinsights.qiagen.com/products-overview/clinical-insights-portfolio/annovar/
ANNOVAR,"  ANNOVAR is a tool for annotating genetic variants detected in high-throughput sequencing data. It provides information on the functional consequences of variants, such as their effects on protein coding, splicing, and regulatory regions. ANNOVAR supports multiple types of annotation databases, making it a versatile tool for variant analysis.",https://digitalinsights.qiagen.com/products-overview/clinical-insights-portfolio/annovar/
ANNOVAR,"  ANNOVAR is a tool for annotating genetic variants detected in high-throughput sequencing data. It provides information on the functional consequences of variants, such as their effects on protein coding, splicing, and regulatory regions. ANNOVAR supports multiple types of annotation databases, making it a versatile tool for variant analysis.",https://digitalinsights.qiagen.com/products-overview/clinical-insights-portfolio/annovar/
ANNOVAR,"  ANNOVAR is a tool for annotating genetic variants detected in high-throughput sequencing data. It provides information on the functional consequences of variants, such as their effects on protein coding, splicing, and regulatory regions. ANNOVAR supports multiple types of annotation databases, making it a versatile tool for variant analysis.",https://digitalinsights.qiagen.com/products-overview/clinical-insights-portfolio/annovar/
ANNOVAR,"  ANNOVAR is a tool for annotating genetic variants detected in high-throughput sequencing data. It provides information on the functional consequences of variants, such as their effects on protein coding, splicing, and regulatory regions. ANNOVAR supports multiple types of annotation databases, making it a versatile tool for variant analysis.",https://digitalinsights.qiagen.com/products-overview/clinical-insights-portfolio/annovar/
ANNOVAR,"  ANNOVAR is a tool for annotating genetic variants detected in high-throughput sequencing data. It provides information on the functional consequences of variants, such as their effects on protein coding, splicing, and regulatory regions. ANNOVAR supports multiple types of annotation databases, making it a versatile tool for variant analysis.",https://digitalinsights.qiagen.com/products-overview/clinical-insights-portfolio/annovar/
AutoDock Vina,AutoDock Vina is a widely used open-source software tool for molecular docking and virtual screening. It predicts the binding affinity and orientation of ligands to their receptor targets using a scoring function that combines empirical and knowledge-based methods. AutoDock Vina is known for its accuracy and speed in docking simulations.,https://vina.scripps.edu/
Axiom Genotyping Solution (Thermo Fisher Scientific)," The Axiom Genotyping Solution is a high-throughput genotyping platform offered by Thermo Fisher Scientific. It includes customizable microarrays for SNP and indel genotyping, enabling researchers to study genetic variation in various populations and species.",https://www.thermofisher.com/in/en/home/life-science/microarray-analysis/agrigenomics-solutions-microarrays-gbs/axiom-genotyping-solution-agrigenomics/axiom-mydesign-genotyping-arrays.html
Axiom Genotyping Solution (Thermo Fisher Scientific)," The Axiom Genotyping Solution is a high-throughput genotyping platform offered by Thermo Fisher Scientific. It includes customizable microarrays for SNP and indel genotyping, enabling researchers to study genetic variation in various populations and species.",https://www.thermofisher.com/in/en/home/life-science/microarray-analysis/agrigenomics-solutions-microarrays-gbs/axiom-genotyping-solution-agrigenomics/axiom-mydesign-genotyping-arrays.html
Axiom Genotyping Solution (Thermo Fisher Scientific)," The Axiom Genotyping Solution is a high-throughput genotyping platform offered by Thermo Fisher Scientific. It includes customizable microarrays for SNP and indel genotyping, enabling researchers to study genetic variation in various populations and species.",https://www.thermofisher.com/in/en/home/life-science/microarray-analysis/agrigenomics-solutions-microarrays-gbs/axiom-genotyping-solution-agrigenomics/axiom-mydesign-genotyping-arrays.html
Axiom Genotyping Solution (Thermo Fisher Scientific)," The Axiom Genotyping Solution is a high-throughput genotyping platform offered by Thermo Fisher Scientific. It includes customizable microarrays for SNP and indel genotyping, enabling researchers to study genetic variation in various populations and species.",https://www.thermofisher.com/in/en/home/life-science/microarray-analysis/agrigenomics-solutions-microarrays-gbs/axiom-genotyping-solution-agrigenomics/axiom-mydesign-genotyping-arrays.html
Axiom Genotyping Solution (Thermo Fisher Scientific)," The Axiom Genotyping Solution is a high-throughput genotyping platform offered by Thermo Fisher Scientific. It includes customizable microarrays for SNP and indel genotyping, enabling researchers to study genetic variation in various populations and species.",https://www.thermofisher.com/in/en/home/life-science/microarray-analysis/agrigenomics-solutions-microarrays-gbs/axiom-genotyping-solution-agrigenomics/axiom-mydesign-genotyping-arrays.html
Axiom Genotyping Solution (Thermo Fisher Scientific)," The Axiom Genotyping Solution is a high-throughput genotyping platform offered by Thermo Fisher Scientific. It includes customizable microarrays for SNP and indel genotyping, enabling researchers to study genetic variation in various populations and species.",https://www.thermofisher.com/in/en/home/life-science/microarray-analysis/agrigenomics-solutions-microarrays-gbs/axiom-genotyping-solution-agrigenomics/axiom-mydesign-genotyping-arrays.html
Byonic,"Byonic is a search engine specialized in peptide and protein identification, particularly recognized for its proficiency in detecting post-translational modifications (PTMs) and characterizing proteins.",https://www.proteinmetrics.com/byonic/
Byonic,"A software tool for peptide and protein identification and characterization, offering advanced search algorithms and post-translational modification analysis.",https://www.proteinmetrics.com/byonic/
Byonic,"Byonic is a search engine specialized in peptide and protein identification, particularly recognized for its proficiency in detecting post-translational modifications (PTMs) and characterizing proteins.",https://www.proteinmetrics.com/byonic/
CHEBI,"ChEBI is a database of molecular entities focused on small chemical compounds. It provides detailed information on chemical structures, nomenclature, ontology, and biological roles. ChEBI is used for annotating biochemical and pharmaceutical data.",https://www.ebi.ac.uk/chebi/
ChIP-seq analysis tools," ChIP-seq (Chromatin Immunoprecipitation Sequencing) analysis tools are used to analyze data from experiments that combine chromatin immunoprecipitation with next-generation sequencing. These tools help identify DNA binding sites of transcription factors and other proteins, map histone modifications, and analyze chromatin structure. Common tools include MACS (Model-based Analysis of ChIP-Seq) for peak calling and HOMER (Hypergeometric Optimization of Motif EnRichment) for motif discovery.",https://www.cd-genomics.com/pipeline-and-tools-comparison-for-chip-seq-analysis.html
ChIP-seq analysis tools," ChIP-seq (Chromatin Immunoprecipitation Sequencing) analysis tools are used to analyze data from experiments that combine chromatin immunoprecipitation with next-generation sequencing. These tools help identify DNA binding sites of transcription factors and other proteins, map histone modifications, and analyze chromatin structure. Common tools include MACS (Model-based Analysis of ChIP-Seq) for peak calling and HOMER (Hypergeometric Optimization of Motif EnRichment) for motif discovery.",https://www.cd-genomics.com/pipeline-and-tools-comparison-for-chip-seq-analysis.html
ChIP-seq analysis tools," ChIP-seq (Chromatin Immunoprecipitation Sequencing) analysis tools are used to analyze data from experiments that combine chromatin immunoprecipitation with next-generation sequencing. These tools help identify DNA binding sites of transcription factors and other proteins, map histone modifications, and analyze chromatin structure. Common tools include MACS (Model-based Analysis of ChIP-Seq) for peak calling and HOMER (Hypergeometric Optimization of Motif EnRichment) for motif discovery.",https://www.cd-genomics.com/pipeline-and-tools-comparison-for-chip-seq-analysis.html
ChIP-seq analysis tools," ChIP-seq (Chromatin Immunoprecipitation Sequencing) analysis tools are used to analyze data from experiments that combine chromatin immunoprecipitation with next-generation sequencing. These tools help identify DNA binding sites of transcription factors and other proteins, map histone modifications, and analyze chromatin structure. Common tools include MACS (Model-based Analysis of ChIP-Seq) for peak calling and HOMER (Hypergeometric Optimization of Motif EnRichment) for motif discovery.",https://www.cd-genomics.com/pipeline-and-tools-comparison-for-chip-seq-analysis.html
ChIP-seq analysis tools," ChIP-seq (Chromatin Immunoprecipitation Sequencing) analysis tools are used to analyze data from experiments that combine chromatin immunoprecipitation with next-generation sequencing. These tools help identify DNA binding sites of transcription factors and other proteins, map histone modifications, and analyze chromatin structure. Common tools include MACS (Model-based Analysis of ChIP-Seq) for peak calling and HOMER (Hypergeometric Optimization of Motif EnRichment) for motif discovery.",https://www.cd-genomics.com/pipeline-and-tools-comparison-for-chip-seq-analysis.html
ChIP-seq analysis tools," ChIP-seq (Chromatin Immunoprecipitation Sequencing) analysis tools are used to analyze data from experiments that combine chromatin immunoprecipitation with next-generation sequencing. These tools help identify DNA binding sites of transcription factors and other proteins, map histone modifications, and analyze chromatin structure. Common tools include MACS (Model-based Analysis of ChIP-Seq) for peak calling and HOMER (Hypergeometric Optimization of Motif EnRichment) for motif discovery.",https://www.cd-genomics.com/pipeline-and-tools-comparison-for-chip-seq-analysis.html
ClinVar," ClinVar is a freely accessible database maintained by the National Center for Biotechnology Information (NCBI) that aggregates information about genomic variations and their relationship to human health. It provides clinical annotations, including pathogenicity, clinical significance, and supporting evidence for various genetic variants.",https://clinvarminer.genetics.utah.edu/
ClinVar," ClinVar is a freely accessible database maintained by the National Center for Biotechnology Information (NCBI) that aggregates information about genomic variations and their relationship to human health. It provides clinical annotations, including pathogenicity, clinical significance, and supporting evidence for various genetic variants.",https://clinvarminer.genetics.utah.edu/
ClinVar," ClinVar is a freely accessible database maintained by the National Center for Biotechnology Information (NCBI) that aggregates information about genomic variations and their relationship to human health. It provides clinical annotations, including pathogenicity, clinical significance, and supporting evidence for various genetic variants.",https://clinvarminer.genetics.utah.edu/
ClinVar," ClinVar is a freely accessible database maintained by the National Center for Biotechnology Information (NCBI) that aggregates information about genomic variations and their relationship to human health. It provides clinical annotations, including pathogenicity, clinical significance, and supporting evidence for various genetic variants.",https://clinvarminer.genetics.utah.edu/
ClinVar," ClinVar is a freely accessible database maintained by the National Center for Biotechnology Information (NCBI) that aggregates information about genomic variations and their relationship to human health. It provides clinical annotations, including pathogenicity, clinical significance, and supporting evidence for various genetic variants.",https://clinvarminer.genetics.utah.edu/
ClinVar," ClinVar is a freely accessible database maintained by the National Center for Biotechnology Information (NCBI) that aggregates information about genomic variations and their relationship to human health. It provides clinical annotations, including pathogenicity, clinical significance, and supporting evidence for various genetic variants.",https://clinvarminer.genetics.utah.edu/
ClusPro,"ClusPro is a web-based protein-protein docking server that automates the docking process and clusters the resulting models to identify the most likely binding modes. It uses a combination of rigid-body docking, clustering, and energy minimization to predict complex structures, making it accessible for non-expert users.

",https://cluspro.org/help.php
Clustal Omega," Clustal Omega is a software tool for multiple sequence alignment of amino acid or nucleotide sequences. It uses advanced algorithms to align sequences, identify conserved regions, and infer evolutionary relationships. Clustal Omega is widely used in comparative genomics, phylogenetics, and functional genomics studies",https://www.ebi.ac.uk/jdispatcher/msa/clustalo
COFACTOR (COmplex Formation And TRansformatiOn),"COFACTOR is a computational tool for predicting protein-ligand and protein-protein interactions. It integrates structural and functional information to model binding sites and interactions, providing insights into the molecular basis of complex formation.",https://zhanggroup.org/COFACTOR/
DOCK, DOCK is one of the oldest and most established molecular docking programs. It generates possible binding orientations (poses) of small molecules (ligands) within a target protein's binding site and scores these poses based on their predicted binding affinities. DOCK is used for virtual screening and lead optimization in drug discovery.,https://bio.tools/patchdock
DynDock,"DynDock is a docking program that simulates the dynamic process of ligand binding by incorporating molecular dynamics (MD) simulations into the docking workflow. It aims to provide more realistic predictions of binding modes by considering the flexibility of both the ligand and the target protein.

",https://bio.tools/autodock_vina
EMBL-Bank,"  EMBL-Bank is a primary nucleotide sequence database maintained by the European Bioinformatics Institute (EBI). It is part of the International Nucleotide Sequence Database Collaboration (INSDC) and provides access to nucleotide sequences from various organisms, along with associated metadata and annotations.",https://www.ebi.ac.uk/
Ensembl Genome Browser," The Ensembl Genome Browser is a platform for accessing and visualizing genomic data for various species. It provides comprehensive annotations, including gene models, variation data, comparative genomics, and regulatory features. Ensembl supports integration with various external data sources and tools, facilitating in-depth genomicÂ research.",https://ensemblgenomes.org/
Ensembl Genome Browser," The Ensembl Genome Browser is a platform for accessing and visualizing genomic data for various species. It provides comprehensive annotations, including gene models, variation data, comparative genomics, and regulatory features. Ensembl supports integration with various external data sources and tools, facilitating in-depth genomicÂ research.",https://ensemblgenomes.org/
Ensembl Genome Browser," The Ensembl Genome Browser is a platform for accessing and visualizing genomic data for various species. It provides comprehensive annotations, including gene models, variation data, comparative genomics, and regulatory features. Ensembl supports integration with various external data sources and tools, facilitating in-depth genomicÂ research.",https://ensemblgenomes.org/
Ensembl Genome Browser," The Ensembl Genome Browser is a platform for accessing and visualizing genomic data for various species. It provides comprehensive annotations, including gene models, variation data, comparative genomics, and regulatory features. Ensembl supports integration with various external data sources and tools, facilitating in-depth genomicÂ research.",https://ensemblgenomes.org/
Ensembl Genome Browser," The Ensembl Genome Browser is a platform for accessing and visualizing genomic data for various species. It provides comprehensive annotations, including gene models, variation data, comparative genomics, and regulatory features. Ensembl supports integration with various external data sources and tools, facilitating in-depth genomicÂ research.",https://ensemblgenomes.org/
Ensembl Genome Browser," The Ensembl Genome Browser is a platform for accessing and visualizing genomic data for various species. It provides comprehensive annotations, including gene models, variation data, comparative genomics, and regulatory features. Ensembl supports integration with various external data sources and tools, facilitating in-depth genomicÂ research.",https://ensemblgenomes.org/
Ensembl Genomes,"Ensembl Genomes is a suite of genome databases for non-vertebrate species, including plants, fungi, protists, bacteria, and archaea. It provides access to genome sequences, annotations, comparative genomics, and functional data, supporting research in diverse fields of biology andÂ agriculture.",https://ensemblgenomes.org/
Ensembl Variant Effect Predictor (VEP),"  The Ensembl Variant Effect Predictor (VEP) is a tool for annotating and predicting the effects of genetic variants on genes, transcripts, and protein sequences. VEP provides information on the impact of variants, including missense mutations, synonymous changes, and regulatory region alterations, using the extensive Ensembl database.",https://asia.ensembl.org/info/docs/tools/vep/index.html
FireDock,"  FireDock is a refinement and rescoring algorithm for protein-protein and protein-ligand docking solutions. It optimizes docking poses generated by other docking programs by minimizing binding energy and improving geometric complementarity, enhancing the accuracy of dockingÂ predictions.",https://bio.tools/firedock
FRAPPE (Fast Random Association with Partner Pool Estimation)," FRAPPE is a software tool for estimating individual ancestry proportions from genotype data. It uses a model-based approach similar to ADMIXTURE and STRUCTURE, providing fast and accurate ancestry inference for population genetics studies.
",https://frappe.io/partners
FRAPPE (Fast Random Association with Partner Pool Estimation)," FRAPPE is a software tool for estimating individual ancestry proportions from genotype data. It uses a model-based approach similar to ADMIXTURE and STRUCTURE, providing fast and accurate ancestry inference for population genetics studies.
",https://frappe.io/partners
FRAPPE (Fast Random Association with Partner Pool Estimation)," FRAPPE is a software tool for estimating individual ancestry proportions from genotype data. It uses a model-based approach similar to ADMIXTURE and STRUCTURE, providing fast and accurate ancestry inference for population genetics studies.
",https://frappe.io/partners
FRAPPE (Fast Random Association with Partner Pool Estimation)," FRAPPE is a software tool for estimating individual ancestry proportions from genotype data. It uses a model-based approach similar to ADMIXTURE and STRUCTURE, providing fast and accurate ancestry inference for population genetics studies.
",https://frappe.io/partners
FRAPPE (Fast Random Association with Partner Pool Estimation)," FRAPPE is a software tool for estimating individual ancestry proportions from genotype data. It uses a model-based approach similar to ADMIXTURE and STRUCTURE, providing fast and accurate ancestry inference for population genetics studies.
",https://frappe.io/partners
FRAPPE (Fast Random Association with Partner Pool Estimation)," FRAPPE is a software tool for estimating individual ancestry proportions from genotype data. It uses a model-based approach similar to ADMIXTURE and STRUCTURE, providing fast and accurate ancestry inference for population genetics studies.
",https://frappe.io/partners
fred (Fast Rigid Exhaustive Docking)," FRED is a molecular docking program developed by OpenEye Scientific that performs rigid-body docking of ligands to protein targets. It exhaustively searches all possible orientations and conformations of the ligand within the binding site, using a comprehensive scoring function to rank the results.
",https://bio.tools/fred
FUMA (Functional Mapping and Annotation of Genome-Wide Association Studies),"   FUMA is an online platform for annotating, prioritizing, and interpreting GWAS results. It integrates various functional annotation databases and tools to provide insights into the biological mechanisms underlying genetic associations and to prioritize candidate genes and variants for further study.",https://bio.tools/fuma
FUMA (Functional Mapping and Annotation of Genome-Wide Association Studies),"   FUMA is an online platform for annotating, prioritizing, and interpreting GWAS results. It integrates various functional annotation databases and tools to provide insights into the biological mechanisms underlying genetic associations and to prioritize candidate genes and variants for further study.",https://bio.tools/fuma
FUMA (Functional Mapping and Annotation of Genome-Wide Association Studies),"   FUMA is an online platform for annotating, prioritizing, and interpreting GWAS results. It integrates various functional annotation databases and tools to provide insights into the biological mechanisms underlying genetic associations and to prioritize candidate genes and variants for further study.",https://bio.tools/fuma
FUMA (Functional Mapping and Annotation of Genome-Wide Association Studies),"   FUMA is an online platform for annotating, prioritizing, and interpreting GWAS results. It integrates various functional annotation databases and tools to provide insights into the biological mechanisms underlying genetic associations and to prioritize candidate genes and variants for further study.",https://bio.tools/fuma
FUMA (Functional Mapping and Annotation of Genome-Wide Association Studies),"   FUMA is an online platform for annotating, prioritizing, and interpreting GWAS results. It integrates various functional annotation databases and tools to provide insights into the biological mechanisms underlying genetic associations and to prioritize candidate genes and variants for further study.",https://bio.tools/fuma
FUMA (Functional Mapping and Annotation of Genome-Wide Association Studies),"   FUMA is an online platform for annotating, prioritizing, and interpreting GWAS results. It integrates various functional annotation databases and tools to provide insights into the biological mechanisms underlying genetic associations and to prioritize candidate genes and variants for further study.",https://bio.tools/fuma
Galaxy-P,": An online platform for proteomics data analysis, offering a suite of tools and workflows for data processing, identification, quantification, and visualization",: https://galaxyp.org/
GCTA (Genome-wide Complex Trait Analysis),"GCTA is a software tool for analyzing the genetic architecture of complex traits. It can estimate the proportion of phenotypic variance explained by genome-wide SNPs, perform genomic prediction, and conduct GWAS meta-analysis. GCTA is designed to handle large-scale genetic data and to study the genetic basis of complex traits.",https://yanglab.westlake.edu.cn/software/gcta/#Overview
GCTA (Genome-wide Complex Trait Analysis),"GCTA is a software tool for analyzing the genetic architecture of complex traits. It can estimate the proportion of phenotypic variance explained by genome-wide SNPs, perform genomic prediction, and conduct GWAS meta-analysis. GCTA is designed to handle large-scale genetic data and to study the genetic basis of complex traits.",https://yanglab.westlake.edu.cn/software/gcta/#Overview
GCTA (Genome-wide Complex Trait Analysis),"GCTA is a software tool for analyzing the genetic architecture of complex traits. It can estimate the proportion of phenotypic variance explained by genome-wide SNPs, perform genomic prediction, and conduct GWAS meta-analysis. GCTA is designed to handle large-scale genetic data and to study the genetic basis of complex traits.",https://yanglab.westlake.edu.cn/software/gcta/#Overview
GCTA (Genome-wide Complex Trait Analysis),"GCTA is a software tool for analyzing the genetic architecture of complex traits. It can estimate the proportion of phenotypic variance explained by genome-wide SNPs, perform genomic prediction, and conduct GWAS meta-analysis. GCTA is designed to handle large-scale genetic data and to study the genetic basis of complex traits.",https://yanglab.westlake.edu.cn/software/gcta/#Overview
GCTA (Genome-wide Complex Trait Analysis),"GCTA is a software tool for analyzing the genetic architecture of complex traits. It can estimate the proportion of phenotypic variance explained by genome-wide SNPs, perform genomic prediction, and conduct GWAS meta-analysis. GCTA is designed to handle large-scale genetic data and to study the genetic basis of complex traits.",https://yanglab.westlake.edu.cn/software/gcta/#Overview
GCTA (Genome-wide Complex Trait Analysis),"GCTA is a software tool for analyzing the genetic architecture of complex traits. It can estimate the proportion of phenotypic variance explained by genome-wide SNPs, perform genomic prediction, and conduct GWAS meta-analysis. GCTA is designed to handle large-scale genetic data and to study the genetic basis of complex traits.",https://yanglab.westlake.edu.cn/software/gcta/#Overview
Glide (SchrÃ¶dinger)," Glide is a high-precision molecular docking program developed by SchrÃ¶dinger. It uses advanced algorithms to predict ligand binding modes and affinities. Glide offers different docking modes, such as standard precision (SP) and extra precision (XP), to balance accuracy and computational cost, making it a powerful tool for drug discovery.
",https://www.schrodinger.com/life-science/learn/white-papers/docking-and-scoring/
gnoMAD (Genome Aggregation Database),"gnomAD is a resource that aggregates and harmonizes exome and genome sequencing data from a wide range of large-scale sequencing projects. It provides allele frequencies for millions of genetic variants across diverse populations, helping researchers understand genetic diversity and identify rare variants associated with diseases.",https://gnomad.broadinstitute.org/
gnoMAD (Genome Aggregation Database),"gnomAD is a resource that aggregates and harmonizes exome and genome sequencing data from a wide range of large-scale sequencing projects. It provides allele frequencies for millions of genetic variants across diverse populations, helping researchers understand genetic diversity and identify rare variants associated with diseases.",https://gnomad.broadinstitute.org/
gnoMAD (Genome Aggregation Database),"gnomAD is a resource that aggregates and harmonizes exome and genome sequencing data from a wide range of large-scale sequencing projects. It provides allele frequencies for millions of genetic variants across diverse populations, helping researchers understand genetic diversity and identify rare variants associated with diseases.",https://gnomad.broadinstitute.org/
gnoMAD (Genome Aggregation Database),"gnomAD is a resource that aggregates and harmonizes exome and genome sequencing data from a wide range of large-scale sequencing projects. It provides allele frequencies for millions of genetic variants across diverse populations, helping researchers understand genetic diversity and identify rare variants associated with diseases.",https://gnomad.broadinstitute.org/
gnoMAD (Genome Aggregation Database),"gnomAD is a resource that aggregates and harmonizes exome and genome sequencing data from a wide range of large-scale sequencing projects. It provides allele frequencies for millions of genetic variants across diverse populations, helping researchers understand genetic diversity and identify rare variants associated with diseases.",https://gnomad.broadinstitute.org/
gnoMAD (Genome Aggregation Database),"gnomAD is a resource that aggregates and harmonizes exome and genome sequencing data from a wide range of large-scale sequencing projects. It provides allele frequencies for millions of genetic variants across diverse populations, helping researchers understand genetic diversity and identify rare variants associated with diseases.",https://gnomad.broadinstitute.org/
GOLD,"   GOLD (Genetic Optimization for Ligand Docking) is a flexible docking software that uses a genetic algorithm to explore ligand conformations and orientations within the active site of a protein. It is known for its ability to handle highly flexible ligands and to provide accurate predictions of binding poses and affinities.
",https://bio.tools/gold
GoldenGate (Illumina)," GoldenGate is a genotyping assay technology developed by Illumina that uses bead-based microarrays to genotype multiple single nucleotide polymorphisms (SNPs) simultaneously. It is known for its accuracy, high throughput, and flexibility in customizing SNP panels for various research purposes.",https://www.sciencedirect.com/science/article/pii/S2214030122000098
GoldenGate (Illumina)," GoldenGate is a genotyping assay technology developed by Illumina that uses bead-based microarrays to genotype multiple single nucleotide polymorphisms (SNPs) simultaneously. It is known for its accuracy, high throughput, and flexibility in customizing SNP panels for various research purposes.",https://www.sciencedirect.com/science/article/pii/S2214030122000098
GoldenGate (Illumina)," GoldenGate is a genotyping assay technology developed by Illumina that uses bead-based microarrays to genotype multiple single nucleotide polymorphisms (SNPs) simultaneously. It is known for its accuracy, high throughput, and flexibility in customizing SNP panels for various research purposes.",https://www.sciencedirect.com/science/article/pii/S2214030122000098
